location,area,new/resale,furnished,price
Zirakpur punjab,1080,1,0,3700000
Zirakpur Road,1080,1,0,3700000
Zirakpur Road,1710,1,0,7000000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1750,1,0,3990000
Vip Road Zirakpur,1701,1,0,5190000
Ambala Highway,1050,1,0,2690000
SECTOR 115 MOHALI ON KHARAR LANDRAN ROAD,1030,1,0,2850000
Mohali Sec 117,1771,1,0,6600000
Sector 63,1250,0,1,8700000
Mohali Sector 127,930,1,1,2690000
Mohali Sector 127,930,1,1,2690000
Mohali Sector 127,610,1,0,1689000
Mohali Sector 127,615,1,0,1690000
Mohali Sector 127,950,1,0,2590000
Mohali Sec 117,1771,1,0,6541000
Zirakpur punjab,1020,1,0,3350000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1260,1,0,3890000
Zirakpur GAzipur Road,1000,1,0,2790000
Zirakpur GAzipur Road,1100,1,0,3600000
Aerocity Road,1410,1,0,5590000
SEC 116 MOHALI ON KHARAR LANDRAN ROAD,1308,1,0,3299000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1050,1,0,3590000
Patiala Road Zirakpur,1080,1,0,3750000
Ambala Highway,1800,1,0,6890000
Ambala Highway,1800,1,0,6890000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1100,1,0,2790000
Dera Bassi,600,1,0,1590000
Dera Bassi,650,1,0,1690000
Dera Bassi,650,1,0,1690000
Mohali Sector 127,1350,1,1,3790000
Mohali Sec 125,1300,1,1,3390000
Dhakoli Zirakpur,700,1,0,1990000
Zirakpur GAzipur Road,1200,1,0,3700000
Zirakpur GAzipur Road,1050,1,0,3600000
Zirakpur GAzipur Road,1000,1,0,2790000
Aerocity Road,1500,1,0,5490000
Zirakpur punjab,1800,1,0,6190000
SEC 115 MOHALI KHARAR LANDRAN ROAD,700,1,0,1690000
Airport Road,1010,1,0,2550000
Dhakoli Zirakpur,750,1,1,1890000
Zirakpur GAzipur Road,1100,1,0,2700000
Zirakpur GAzipur Road,1100,1,0,3600000
Zirakpur GAzipur Road,1000,1,0,2690000
Zirakpur GAzipur Road,1100,1,0,2690000
Ambala Highway,1100,1,0,3600000
Ambala Highway,1738,1,0,6190000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1530,1,0,4090000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1230,1,0,3240000
Zirakpur GAzipur Road,1000,1,0,2790000
Dhakoli Zirakpur,870,1,1,1890000
Aerocity Road,1410,1,0,5590000
Zirakpur GAzipur Road,1000,1,0,2750000
Aerocity Road,1500,1,0,5790000
Mohali Sec 118,1800,1,0,6500000
